code,name,postal_code,address,tel,accounting_code
C001,株式会社サンプル商事,100-0001,東京都千代田区千代田1-1-1,03-1234-5678,ACC001
C002,有限会社テスト工業,150-0002,東京都渋谷区渋谷2-2-2,03-2345-6789,ACC002
C003,合同会社デモ企画,160-0003,東京都新宿区新宿3-3-3,03-3456-7890,ACC003
C010,新規テスト株式会社,460-0001,愛知県名古屋市中区栄1-1-1,052-111-2222,ACC010
C011,新規サンプル工業,461-0002,愛知県名古屋市東区東桜2-2-2,052-333-4444,ACC011
C020,株式会社アイチ物産,450-0002,愛知県名古屋市中村区名駅3-3-3,052-555-6666,ACC020
C021,豊田システム株式会社,471-0001,愛知県豊田市トヨタ町1番地,0565-11-2222,ACC021
C022,岡崎商事株式会社,444-0002,愛知県岡崎市高橋町4-4-4,0564-22-3333,ACC022
C023,一宮テクノ株式会社,491-0001,愛知県一宮市栄5-5-5,0586-33-4444,ACC023
C024,春日井製作所,486-0001,愛知県春日井市鳥居松町6-6-6,0568-44-5555,ACC024
C020,重複コード株式会社,450-0003,愛知県名古屋市中村区7-7-7,052-777-8888,ACC099
C025,,489-0001,愛知県瀬戸市8-8-8,0561-55-6666,ACC025
C026,列不足株式会社,470-0001
