code,name,postal_code,address,tel,accounting_code
C001,株式会社サンプル商事,100-0001,東京都千代田区千代田1-1-1,03-1234-5678,ACC001
C002,有限会社テスト工業,150-0002,東京都渋谷区渋谷2-2-2,03-2345-6789,ACC002
C010,株式会社北海物産,060-0001,北海道札幌市中央区北1条西1-1,011-100-1000,ACC010
C011,仙台電子部品株式会社,980-0002,宮城県仙台市青葉区本町2-2-2,022-200-2000,ACC011
C012,名古屋機械工業株式会社,460-0003,愛知県名古屋市中区栄3-3-3,052-300-3000,ACC012
C013,大阪商事株式会社,530-0004,大阪府大阪市北区梅田4-4-4,06-400-4000,ACC013
C014,広島精密株式会社,730-0005,広島県広島市中区紙屋町5-5-5,082-500-5000,ACC014
C015,博多流通株式会社,812-0006,福岡県福岡市博多区博多駅前6-6-6,092-600-6000,ACC015
C016,沖縄物流合同会社,900-0007,沖縄県那覇市久茂地7-7-7,098-700-7000,ACC016
C017,金沢加工有限会社,920-0008,石川県金沢市広坂8-8-8,076-800-8000,ACC017
C010,重複コードの行,060-0001,北海道札幌市中央区北1条西1-1,011-100-1000,ACC010
C018,,530-0009,大阪府大阪市中央区本町9-9-9,06-900-9000,ACC018
C019,列不足の行,999-9999
